======================================================================
LEXICO | usuario=Jlchong3 | fecha-hora=02-11-2025-22h07
======================================================================
Total de tokens reconocidos: 135

 LÍNEA    POS                  TIPO  VALOR
----------------------------------------------------------------------
     1      0                STRUCT  struct
     1      7            IDENTIFIER  Punto
     1     13                LBRACE  {
     2     19                   VAR  var
     2     23            IDENTIFIER  x
     2     24                 COLON  :
     2     26            IDENTIFIER  Double
     3     37                   VAR  var
     3     41            IDENTIFIER  y
     3     42                 COLON  :
     3     44            IDENTIFIER  Double
     4     51                RBRACE  }
     6     54                 CLASS  class
     6     60            IDENTIFIER  Rectangulo
     6     71                LBRACE  {
     7     77                   VAR  var
     7     81            IDENTIFIER  origen
     7     87                 COLON  :
     7     89            IDENTIFIER  Punto
     8     99                   VAR  var
     8    103            IDENTIFIER  ancho
     8    108                 COLON  :
     8    110            IDENTIFIER  Double
     9    121                   VAR  var
     9    125            IDENTIFIER  alto
     9    129                 COLON  :
     9    131            IDENTIFIER  Double
    11    143                  INIT  init
    11    147                LPAREN  (
    11    148            IDENTIFIER  origen
    11    154                 COLON  :
    11    156            IDENTIFIER  Punto
    11    161                 COMMA  ,
    11    163            IDENTIFIER  ancho
    11    168                 COLON  :
    11    170            IDENTIFIER  Double
    11    176                 COMMA  ,
    11    178            IDENTIFIER  alto
    11    182                 COLON  :
    11    184            IDENTIFIER  Double
    11    190                RPAREN  )
    11    192                LBRACE  {
    12    202                  SELF  self
    12    206                   DOT  .
    12    207            IDENTIFIER  origen
    12    214                 EQUAL  =
    12    216            IDENTIFIER  origen
    13    231                  SELF  self
    13    235                   DOT  .
    13    236            IDENTIFIER  ancho
    13    242                 EQUAL  =
    13    244            IDENTIFIER  ancho
    14    258                  SELF  self
    14    262                   DOT  .
    14    263            IDENTIFIER  alto
    14    268                 EQUAL  =
    14    270            IDENTIFIER  alto
    15    279                RBRACE  }
    17    286                  FUNC  func
    17    291            IDENTIFIER  area
    17    295                LPAREN  (
    17    296                RPAREN  )
    17    298                 ARROW  ->
    17    301            IDENTIFIER  Double
    17    308                LBRACE  {
    18    318                RETURN  return
    18    325            IDENTIFIER  ancho
    19    335                RBRACE  }
    20    337                RBRACE  }
    22    340                    DO  do
    22    343                LBRACE  {
    23    349                   LET  let
    23    353            IDENTIFIER  r
    23    355                 EQUAL  =
    23    357            IDENTIFIER  Rectangulo
    23    367                LPAREN  (
    23    368            IDENTIFIER  origen
    23    374                 COLON  :
    23    376            IDENTIFIER  Punto
    23    381                LPAREN  (
    23    382            IDENTIFIER  x
    23    383                 COLON  :
    23    385                NUMBER  0.0
    23    386                 COMMA  ,
    23    388            IDENTIFIER  y
    23    389                 COLON  :
    23    391                NUMBER  0.0
    23    392                RPAREN  )
    23    393                 COMMA  ,
    23    395            IDENTIFIER  ancho
    23    400                 COLON  :
    23    402                NUMBER  5.0
    23    405                 COMMA  ,
    23    407            IDENTIFIER  alto
    23    411                 COLON  :
    23    413                NUMBER  2.0
    23    416                RPAREN  )
    24    422            IDENTIFIER  print
    24    427                LPAREN  (
    24    428                STRING  "Área:"
    24    435                 COMMA  ,
    24    437            IDENTIFIER  r
    24    438                   DOT  .
    24    439            IDENTIFIER  area
    24    443                LPAREN  (
    24    444                RPAREN  )
    24    445                RPAREN  )
    25    451            IDENTIFIER  ejemploRangos
    25    464                LPAREN  (
    25    465                RPAREN  )
    26    471            IDENTIFIER  print
    26    476                LPAREN  (
    26    477            IDENTIFIER  evaluarNumero
    26    490                LPAREN  (
    26    491                NUMBER  5.0
    26    492                RPAREN  )
    26    493                RPAREN  )
    27    499            IDENTIFIER  ejemploSwitch
    27    512                LPAREN  (
    27    513            IDENTIFIER  valor
    27    518                 COLON  :
    27    520                NUMBER  2.0
    27    521                RPAREN  )
    28    527            IDENTIFIER  pruebaGuard
    28    538                LPAREN  (
    28    539                   NIL  nil
    28    542                RPAREN  )
    29    544                RBRACE  }
    29    546                 CATCH  catch
    29    552                LBRACE  {
    30    558            IDENTIFIER  print
    30    563                LPAREN  (
    30    564                STRING  "Error capturado"
    30    581                RPAREN  )
    31    583                RBRACE  }
======================================================================
