======================================================================
LEXICO | usuario=aledicaz | fecha-hora=02-11-2025-16h30
======================================================================
Total de tokens reconocidos: 150

 LÍNEA    POS                  TIPO  VALOR
----------------------------------------------------------------------
    10    250            IDENTIFIER  a
    10    252                  PLUS  +
    10    254            IDENTIFIER  b
    22    425            IDENTIFIER  let
    22    429            IDENTIFIER  x
    22    431                ASSIGN  =
    22    433                NUMBER  10
    23    436            IDENTIFIER  let
    23    440            IDENTIFIER  y
    23    442                ASSIGN  =
    23    444                NUMBER  5
    26    473            IDENTIFIER  let
    26    477            IDENTIFIER  suma
    26    482                ASSIGN  =
    26    484            IDENTIFIER  x
    26    486                  PLUS  +
    26    488            IDENTIFIER  y
    27    490            IDENTIFIER  let
    27    494            IDENTIFIER  resta
    27    500                ASSIGN  =
    27    502            IDENTIFIER  x
    27    504                 MINUS  -
    27    506            IDENTIFIER  y
    28    508            IDENTIFIER  let
    28    512            IDENTIFIER  multiplicacion
    28    527                ASSIGN  =
    28    529            IDENTIFIER  x
    28    531                 TIMES  *
    28    533            IDENTIFIER  y
    29    535            IDENTIFIER  let
    29    539            IDENTIFIER  division
    29    548                ASSIGN  =
    29    550            IDENTIFIER  x
    29    552                DIVIDE  /
    29    554            IDENTIFIER  y
    30    556            IDENTIFIER  let
    30    560            IDENTIFIER  modulo
    30    567                ASSIGN  =
    30    569            IDENTIFIER  x
    30    571                MODULO  %
    30    573            IDENTIFIER  y
    33    605            IDENTIFIER  let
    33    609            IDENTIFIER  esIgual
    33    617                ASSIGN  =
    33    619            IDENTIFIER  x
    33    621                    EQ  ==
    33    624            IDENTIFIER  y
    34    626            IDENTIFIER  let
    34    630            IDENTIFIER  esDiferente
    34    642                ASSIGN  =
    34    644            IDENTIFIER  x
    34    646                    NE  !=
    34    649            IDENTIFIER  y
    35    651            IDENTIFIER  let
    35    655            IDENTIFIER  esMayor
    35    663                ASSIGN  =
    35    665            IDENTIFIER  x
    35    667                    GT  >
    35    669            IDENTIFIER  y
    36    671            IDENTIFIER  let
    36    675            IDENTIFIER  esMenor
    36    683                ASSIGN  =
    36    685            IDENTIFIER  x
    36    687                    LT  <
    36    689            IDENTIFIER  y
    37    691            IDENTIFIER  let
    37    695            IDENTIFIER  mayorIgual
    37    706                ASSIGN  =
    37    708            IDENTIFIER  x
    37    710                    GE  >=
    37    713            IDENTIFIER  y
    38    715            IDENTIFIER  let
    38    719            IDENTIFIER  menorIgual
    38    730                ASSIGN  =
    38    732            IDENTIFIER  x
    38    734                    LE  <=
    38    737            IDENTIFIER  y
    41    778            IDENTIFIER  var
    41    782            IDENTIFIER  contador
    41    791                ASSIGN  =
    41    793                NUMBER  0
    42    795            IDENTIFIER  contador
    42    804           PLUS_ASSIGN  +=
    42    807                NUMBER  1
    43    809            IDENTIFIER  contador
    43    818          MINUS_ASSIGN  -=
    43    821                NUMBER  1
    44    823            IDENTIFIER  contador
    44    832          TIMES_ASSIGN  *=
    44    835                NUMBER  2
    45    837            IDENTIFIER  contador
    45    846            DIV_ASSIGN  /=
    45    849                NUMBER  2
    46    851            IDENTIFIER  contador
    46    860            MOD_ASSIGN  %=
    46    863                NUMBER  3
    49    889            IDENTIFIER  let
    49    893            IDENTIFIER  flag
    49    898                ASSIGN  =
    49    900            IDENTIFIER  true
    50    905            IDENTIFIER  let
    50    909            IDENTIFIER  negacion
    50    918                ASSIGN  =
    50    920                   NOT  !
    50    921            IDENTIFIER  flag
    51    926            IDENTIFIER  let
    51    930            IDENTIFIER  andLogico
    51    940                ASSIGN  =
    51    942            IDENTIFIER  flag
    51    947                   AND  &&
    51    950            IDENTIFIER  true
    52    955            IDENTIFIER  let
    52    959            IDENTIFIER  orLogico
    52    968                ASSIGN  =
    52    970            IDENTIFIER  flag
    52    975                    OR  ||
    52    978            IDENTIFIER  false
    55   1006            IDENTIFIER  let
    55   1010            IDENTIFIER  resultado
    55   1020                ASSIGN  =
    55   1022            IDENTIFIER  x
    55   1024                    GT  >
    55   1026            IDENTIFIER  y
    55   1028              QUESTION  ?
    55   1030            IDENTIFIER  x
    55   1032                 COLON  :
    55   1034            IDENTIFIER  y
    58   1055            IDENTIFIER  let
    58   1059            IDENTIFIER  nombre
    58   1066                ASSIGN  =
    58   1069            IDENTIFIER  Juan
    59   1075            IDENTIFIER  let
    59   1079            IDENTIFIER  nombreFinal
    59   1091                ASSIGN  =
    59   1093            IDENTIFIER  nombre
    59   1100          NIL_COALESCE  ??
    59   1104            IDENTIFIER  An
    59   1107            IDENTIFIER  nimo
    62   1137            IDENTIFIER  let
    62   1141            IDENTIFIER  rangoCerrado
    62   1154                ASSIGN  =
    62   1156                NUMBER  1
    62   1157          CLOSED_RANGE  ...
    62   1160                NUMBER  5
    63   1162            IDENTIFIER  let
    63   1166            IDENTIFIER  rangoSemiAbierto
    63   1183                ASSIGN  =
    63   1185                NUMBER  0
    63   1186       HALF_OPEN_RANGE  ..<
    63   1189                NUMBER  10
======================================================================
